_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681448171,FALSE,finalized,3,2/25/15 4:15,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,2/24/15 10:53,5.70295E+17,Los Angeles,Eastern Time (US & Canada)
681448174,FALSE,finalized,3,2/25/15 8:34,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,2/24/15 10:48,5.70294E+17,1/1 loner squad,Eastern Time (US & Canada)
681448176,FALSE,finalized,3,2/25/15 2:03,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,2/24/15 10:30,5.7029E+17,NYC,America/New_York
681448178,FALSE,finalized,3,2/25/15 2:13,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,2/24/15 10:30,5.7029E+17,NYC,America/New_York
681448181,FALSE,finalized,3,2/25/15 5:39,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,2/24/15 10:21,5.70287E+17,,Eastern Time (US & Canada)
681448182,FALSE,finalized,3,2/25/15 7:33,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,2/24/15 10:15,5.70286E+17,"San Francisco, CA",Pacific Time (US & Canada)
681448184,FALSE,finalized,3,2/25/15 3:11,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,2/24/15 10:01,5.70282E+17,"palo alto, ca",Pacific Time (US & Canada)
681448186,FALSE,finalized,3,2/25/15 1:32,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,2/24/15 9:42,5.70278E+17,west covina,Pacific Time (US & Canada)
681448188,FALSE,finalized,3,2/25/15 8:46,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,2/24/15 9:39,5.70277E+17,this place called NYC,Eastern Time (US & Canada)
681448190,FALSE,finalized,3,2/25/15 10:24,positive,1,,,Virgin America,,thebrandiray,,0,I âù_ï¸è flying @VirginAmerica. â˜ºï¸è_Ÿ‘ç,,2/24/15 9:15,5.70271E+17,Somewhere celebrating life. ,Atlantic Time (Canada)
681448192,FALSE,finalized,3,2/25/15 5:25,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,2/24/15 9:04,5.70268E+17,Boston | Waltham,Quito
681448194,FALSE,finalized,3,2/25/15 3:34,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,2/24/15 8:55,5.70266E+17,,
681448197,FALSE,finalized,3,2/25/15 2:26,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2/24/15 8:49,5.70264E+17,,
681448199,FALSE,finalized,3,2/25/15 3:26,positive,1,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,2/24/15 8:30,5.70259E+17,Los Angeles,Pacific Time (US & Canada)
681448201,FALSE,finalized,3,2/25/15 11:31,neutral,1,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,2/24/15 8:27,5.70259E+17,"Boston, MA ",Eastern Time (US & Canada)
681448204,FALSE,finalized,3,2/25/15 5:59,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _Ÿ˜¡ I want free internet,,2/24/15 8:18,5.70257E+17,714,Mountain Time (US & Canada)
681448206,FALSE,finalized,3,2/25/15 5:25,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,2/24/15 7:49,5.70249E+17,,
681448208,FALSE,finalized,3,2/25/15 2:01,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2/24/15 7:11,5.7024E+17,,
681448211,FALSE,finalized,3,2/25/15 1:08,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,2/24/15 5:44,5.70218E+17,"San Francisco, CA",Central Time (US & Canada)
681448213,FALSE,finalized,3,2/25/15 9:04,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2/24/15 5:05,5.70208E+17,"San Mateo, CA & Las Vegas, NV",
681448214,FALSE,finalized,3,2/25/15 9:14,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2/23/15 23:34,5.70125E+17,Brooklyn,Atlantic Time (Canada)
681448218,FALSE,finalized,3,2/25/15 2:49,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _Ÿ˜¢",,2/23/15 22:52,5.70114E+17,,Vienna
681448221,FALSE,finalized,3,2/25/15 2:55,neutral,1,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,2/23/15 21:35,5.70095E+17,"California, San Francisco",Pacific Time (US & Canada)
681448223,FALSE,finalized,3,2/25/15 1:57,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2/23/15 21:10,5.70088E+17,Washington DC,Quito
681448225,FALSE,finalized,3,2/25/15 2:53,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,2/23/15 20:55,5.70085E+17,,Pacific Time (US & Canada)
681448228,FALSE,finalized,3,2/25/15 1:01,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2/23/15 20:24,5.70077E+17,Texas,Central Time (US & Canada)
681448230,FALSE,finalized,3,2/25/15 2:14,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,2/23/15 18:46,5.70052E+17,Worldwide,Caracas
681448235,FALSE,finalized,3,2/25/15 1:35,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _Ÿ’œâœˆ #MoodlitMonday,,2/23/15 18:43,5.70051E+17,Central Texas,
681448239,FALSE,finalized,3,2/25/15 6:24,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,2/23/15 18:19,5.70045E+17,Central Texas,
681448241,FALSE,finalized,3,2/25/15 5:08,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,,2/23/15 17:54,5.70039E+17,i'm creating a monster ,Pacific Time (US & Canada)
681448243,FALSE,finalized,3,2/25/15 9:25,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,2/23/15 17:41,5.70036E+17,"San Francisco, CA",Pacific Time (US & Canada)
681448245,FALSE,finalized,3,2/25/15 0:42,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,2/23/15 17:32,5.70034E+17,,
681448247,FALSE,finalized,3,2/25/15 4:58,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2/23/15 17:00,5.70025E+17,Iowa City,Central Time (US & Canada)
681448249,FALSE,finalized,3,2/25/15 6:26,neutral,1,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _Ÿç·_Ÿ‘ç_Ÿ’ºâœˆï¸è,"[34.0219817, -118.38591198]",2/23/15 16:24,5.70016E+17,Los Angeles,
681448251,FALSE,finalized,3,2/25/15 6:30,neutral,0.6578,,0,Virgin America,,KGervaise,,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,2/23/15 16:20,5.70015E+17,Georgia,Pacific Time (US & Canada)
681448254,FALSE,finalized,3,2/25/15 8:33,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,2/23/15 16:13,5.70014E+17,,
681448256,FALSE,finalized,3,2/25/15 5:46,positive,1,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,2/23/15 16:08,5.70012E+17,Los Angeles,
681448258,FALSE,finalized,3,2/25/15 5:56,neutral,0.6799,,,Virgin America,,vacations7,,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,2/23/15 16:04,5.70011E+17,Turks and caicos,
681448260,FALSE,finalized,3,2/25/15 7:50,positive,1,,,Virgin America,,ChelseaPoe666,,0,@VirginAmerica wow this just blew my mind,,2/23/15 16:01,5.70011E+17,Oakland via Midwest ,Atlantic Time (Canada)
681448262,FALSE,finalized,3,2/25/15 6:47,neutral,1,,,Virgin America,,BobGlavinVO,,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,2/23/15 16:01,5.70011E+17,"New York, NY",Eastern Time (US & Canada)
681448264,FALSE,finalized,3,2/25/15 3:52,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,2/23/15 15:58,5.7001E+17,,
681448265,FALSE,finalized,3,2/25/15 3:23,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,2/23/15 15:55,5.70009E+17,Worldwide,Central Time (US & Canada)
681448267,FALSE,finalized,3,2/25/15 8:02,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,2/23/15 15:46,5.70007E+17,Northern Virginia,Eastern Time (US & Canada)
681448269,FALSE,finalized,3,2/25/15 6:54,neutral,1,,,Virgin America,,2v,,0,@VirginAmerica wish you flew out of Atlanta... Soon?,,2/23/15 15:36,5.70004E+17,Los Angeles / Atlanta,Eastern Time (US & Canada)
681448271,FALSE,finalized,3,2/25/15 6:58,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,2/23/15 15:24,5.70001E+17,,Atlantic Time (Canada)
681448273,FALSE,finalized,3,2/25/15 7:06,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,2/23/15 15:19,5.7E+17,,
681448275,FALSE,finalized,3,2/25/15 9:10,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,2/23/15 15:05,5.69996E+17,"new york, new york",Eastern Time (US & Canada)
681448278,FALSE,finalized,3,2/25/15 2:43,positive,1,,,Virgin America,,VinnieFerra,,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,,2/23/15 15:04,5.69996E+17,"brooklyn, Ny",Pacific Time (US & Canada)
681448280,FALSE,finalized,3,2/25/15 0:33,positive,0.635,,,Virgin America,,KevinDemsi,,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _Ÿ˜_,,2/23/15 14:40,5.6999E+17,"Bali, Republic of Indonesia",Kuala Lumpur
681448282,FALSE,finalized,3,2/25/15 6:57,neutral,0.7007,,,Virgin America,,giffgaffman,,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,2/23/15 14:40,5.6999E+17,"UK, USA. ",
681448284,FALSE,finalized,3,2/25/15 6:58,neutral,1,,,Virgin America,,HanlonBrothers,,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,2/23/15 14:37,5.6999E+17,"Gold Coast, Australia",Brisbane
681448288,FALSE,finalized,3,2/25/15 5:38,neutral,1,,,Virgin America,,emilybg78,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,2/23/15 14:36,5.69989E+17,"Stockton, CA",Arizona
681448290,FALSE,finalized,3,2/25/15 9:58,negative,1,Customer Service Issue,1,Virgin America,,rachie1126,,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,2/23/15 14:35,5.69989E+17,"New York, NY",Eastern Time (US & Canada)
681448292,FALSE,finalized,3,2/25/15 8:08,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _Ÿ˜ç_Ÿ‘Œ","[33.57963333, -117.73024772]",2/23/15 14:30,5.69988E+17,,
681448295,FALSE,finalized,3,2/25/15 7:27,neutral,1,,,Virgin America,,SocialPLC,,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,2/23/15 14:26,5.69987E+17,"Twin Cities, Minn.",Eastern Time (US & Canada)
681448297,FALSE,finalized,3,2/25/15 5:58,positive,1,,,Virgin America,,jeffreymace01,,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,2/23/15 14:25,5.69986E+17,,
681448299,FALSE,finalized,3,2/25/15 8:18,neutral,0.6814,,0,Virgin America,,1stcrown,,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,2/23/15 14:09,5.69982E+17,USA,Central Time (US & Canada)
681448302,FALSE,finalized,3,2/25/15 1:05,negative,1,Customer Service Issue,1,Virgin America,,onerockgypsy,,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,2/23/15 13:46,5.69977E+17,next city,Pacific Time (US & Canada)
681448303,FALSE,finalized,3,2/25/15 6:08,negative,1,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2/23/15 13:35,5.69974E+17,SF â†” NY,Eastern Time (US & Canada)
681448306,FALSE,finalized,3,2/25/15 3:41,positive,0.6922,,,Virgin America,,Travelzoo,,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,2/23/15 13:30,5.69973E+17,"New York, NY",Pacific Time (US & Canada)
681448308,FALSE,finalized,3,2/25/15 3:22,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2/23/15 13:08,5.69967E+17,New York + Panama,Eastern Time (US & Canada)
681448310,FALSE,finalized,3,2/25/15 1:56,neutral,1,,,Virgin America,,bxchen,,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,2/23/15 12:47,5.69962E+17,"San Francisco, CA",Eastern Time (US & Canada)
681448312,FALSE,finalized,3,2/25/15 7:04,neutral,0.6492,,0,Virgin America,,seimatrun,,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,2/23/15 12:00,5.6995E+17,Los Angeles,
681448314,FALSE,finalized,3,2/25/15 9:16,neutral,1,,,Virgin America,,jamied7,,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,2/23/15 11:56,5.69949E+17,"London, England",London
681448317,FALSE,finalized,3,2/25/15 7:27,negative,1,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,2/23/15 11:46,5.69946E+17,Los Angeles,
681448319,FALSE,finalized,3,2/25/15 6:39,positive,1,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2/23/15 11:32,5.69943E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
681448320,FALSE,finalized,3,2/25/15 3:09,positive,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,2/23/15 11:28,5.69942E+17,"Dallas, Texas",Mountain Time (US & Canada)
681448321,FALSE,finalized,3,2/25/15 0:46,neutral,1,,,Virgin America,,campusmoviefest,,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,2/23/15 11:24,5.69941E+17,USA,Eastern Time (US & Canada)
681448322,FALSE,finalized,3,2/25/15 1:46,neutral,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,2/23/15 11:22,5.6994E+17,"Dallas, Texas",Mountain Time (US & Canada)
681448324,FALSE,finalized,3,2/25/15 4:43,negative,1,Customer Service Issue,1,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,2/23/15 11:02,5.69935E+17,,
681448326,FALSE,finalized,3,2/25/15 3:07,neutral,1,,,Virgin America,,kyle_romanoff,,0,@VirginAmerica what happened to Doom?!,,2/23/15 10:58,5.69934E+17,,
681448329,FALSE,finalized,3,2/25/15 7:14,negative,1,Customer Service Issue,1,Virgin America,,GunsNDip,,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,2/23/15 10:56,5.69934E+17,,Pacific Time (US & Canada)
681448331,FALSE,finalized,3,2/25/15 1:04,positive,1,,,Virgin America,,artisticwritr87,,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,2/23/15 10:56,5.69934E+17,"Seattle, WA",Pacific Time (US & Canada)
681448334,FALSE,finalized,3,2/25/15 4:13,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,2/23/15 10:54,5.69933E+17,Los Angeles,
681448336,FALSE,finalized,3,2/25/15 9:57,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2/23/15 10:54,5.69933E+17,,Pacific Time (US & Canada)
681448338,FALSE,finalized,3,2/25/15 2:32,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2/23/15 10:38,5.69929E+17,,Pacific Time (US & Canada)
681448340,FALSE,finalized,3,2/25/15 6:05,negative,1,Flight Booking Problems,1,Virgin America,,jsatk,,0,@VirginAmerica Iâ€™m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",2/23/15 10:29,5.69927E+17,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
681448342,FALSE,finalized,3,2/25/15 8:47,neutral,0.6705,,0,Virgin America,,serenaklal,,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,,2/23/15 10:15,5.69923E+17,Chicago,Eastern Time (US & Canada)
681448345,FALSE,finalized,3,2/25/15 4:03,neutral,1,,,Virgin America,,openambit1,,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,,2/23/15 10:09,5.69922E+17,,
681448347,FALSE,finalized,3,2/25/15 8:31,neutral,0.6545,,0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,2/23/15 10:04,5.69921E+17,"Los Cabos,Mexico",Arizona
681448349,FALSE,finalized,3,2/25/15 3:54,negative,1,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,,2/23/15 9:57,5.69919E+17,"New York, NY",Arizona
681448353,FALSE,finalized,3,2/25/15 6:57,neutral,1,,,Virgin America,,RamotControl,,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",,2/23/15 9:45,5.69916E+17,,Pacific Time (US & Canada)
681448355,FALSE,finalized,3,2/25/15 7:47,neutral,0.6639,,0,Virgin America,,losermelon,,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,2/23/15 9:35,5.69913E+17,,
681448358,FALSE,finalized,3,2/25/15 9:47,negative,1,Cancelled Flight,1,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,2/23/15 9:29,5.69912E+17,,
681448360,FALSE,finalized,3,2/25/15 3:30,negative,1,Late Flight,1,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2/23/15 9:28,5.69912E+17,,Pacific Time (US & Canada)
681448362,FALSE,finalized,3,2/25/15 7:15,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,,2/23/15 9:26,5.69911E+17,,
681448364,FALSE,finalized,3,2/25/15 3:17,negative,1,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,2/23/15 9:25,5.69911E+17,"Los Angeles, CA",Arizona
681448366,FALSE,finalized,3,2/25/15 9:22,negative,1,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,2/23/15 9:18,5.69909E+17,"Austin, TX",Mountain Time (US & Canada)
681448369,FALSE,finalized,3,2/25/15 2:16,negative,1,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,2/23/15 9:11,5.69907E+17,,
681448371,FALSE,finalized,3,2/25/15 8:31,negative,1,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,2/23/15 8:29,5.69897E+17,"Sterling Heights, MI",Eastern Time (US & Canada)
681448373,FALSE,finalized,3,2/25/15 2:32,negative,1,Customer Service Issue,1,Virgin America,,louisjenny,,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,,2/23/15 8:19,5.69894E+17,Washington DC,Quito
681448376,FALSE,finalized,3,2/25/15 0:39,neutral,1,,,Virgin America,,STravelsW,,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,,2/23/15 8:19,5.69894E+17,"Manhattan Beach, CA",
681448377,FALSE,finalized,3,2/25/15 5:39,negative,1,Late Flight,0.6882,Virgin America,,GunsNDip,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,2/23/15 8:11,5.69892E+17,,Pacific Time (US & Canada)
681448379,FALSE,finalized,3,2/25/15 3:20,neutral,1,,,Virgin America,,joeyrenagade,,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,,2/23/15 8:08,5.69891E+17,Greater Los Angeles,
